,final_legend,export_group,hersteller,modell,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,Preis (€),volumen
92,"PAC 4220 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_neu,Siemens,PAC 4220,Referenz,4000,Energiemessgerät,L3,"0,84","0,06","-0,03","-0,02","0,01","0,02","-0,01",1,1
93,"Rogowski-Spulen | Kl. 0,2",mes_messstrecke_neu,MBS,FASK-100,Referenz,4000,Rogowskispule,L1,"-2,64","-0,88","-0,86","-0,87","-0,82","-0,82","-0,8",1,1
94,"Rogowski-Spulen | Kl. 0,2",mes_messstrecke_neu,MBS,FASK-100,Referenz,4000,Rogowskispule,L2,"2,95","1,97","1,24","1,13","1,02","1,77","5,23",1,1
95,"Rogowski-Spulen | Kl. 0,2",mes_messstrecke_neu,MBS,FASK-100,Referenz,4000,Rogowskispule,L3,"-2,64","-0,88","-0,86","-0,87","-0,82","-0,82","-0,8",1,1
96,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,mes_gesamt,MBS,ASK101.4,Parallel,2000,Standard,L1,"0,13","-0,22",,,,"-0,35","-0,43","43,67","733,2"
97,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,mes_gesamt,MBS,ASK101.4,Parallel,2000,Standard,L2,"0,09","-0,14",,,,"-0,27","-0,36","43,67","733,2"
98,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,mes_gesamt,MBS,ASK101.4,Parallel,2000,Standard,L3,"0,21","-0,06",,,,"-0,2","-0,22","43,67","733,2"
99,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,mes_gesamt,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L1,"0,13","-0,22",,,,"-0,35","-0,43","95,95","710,2"
100,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,mes_gesamt,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L2,"0,09","-0,14",,,,"-0,27","-0,35","95,95","710,2"
101,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,mes_gesamt,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L3,"0,21","-0,06",,,,"-0,2","-0,22","95,95","710,2"
102,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,mes_gesamt,Redur,13A1030.3ffp,Parallel,2000,FFP,L1,"0,38","0,06",,,,"-0,08","-0,1","146,01","778,73"
103,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,mes_gesamt,Redur,13A1030.3ffp,Parallel,2000,FFP,L2,"0,45","0,11",,,,"-0,03","-0,51","146,01","778,73"
104,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,mes_gesamt,Redur,13A1030.3ffp,Parallel,2000,FFP,L3,"0,41","0,15",,,,"0,02","-0,01","146,01","778,73"
105,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,mes_gesamt,Celsa,ALO 10030,Parallel,2000,Standard,L1,"0,2","-0,07",,,,"-0,48","-2,67","45,5",634291
106,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,mes_gesamt,Celsa,ALO 10030,Parallel,2000,Standard,L2,"0,2","-0,01",,,,"-1,97","-4,24","45,5",634291
107,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,mes_gesamt,Celsa,ALO 10030,Parallel,2000,Standard,L3,"0,4","0,08",,,,"-0,43","-3,07","45,5",634291
108,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,mes_gesamt,Celsa,ALO 10030,Dreieck,2000,Standard,L1,"0,18","-0,1",,,,"-0,27","-0,32","45,5",634291
109,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,mes_gesamt,Celsa,ALO 10030,Dreieck,2000,Standard,L2,"0,53","-0,03",,,,"-0,21","-0,23","45,5",634291
110,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,mes_gesamt,Celsa,ALO 10030,Dreieck,2000,Standard,L3,"0,48","0,07",,,,"-0,15","-0,76","45,5",634291
111,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,mes_gesamt,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,L1,"0,11","-0,12",,,,"-0,31","-0,34","95,95","710,2"
112,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,mes_gesamt,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,L2,"0,22","-0,13",,,,"-0,28","-0,3","95,95","710,2"
113,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,mes_gesamt,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,L3,"0,23","-0,11",,,,"-0,25","-0,3","95,95","710,2"
114,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,mes_gesamt,MBS,ASK101.4,Dreieck,2000,Standard,L1,"0,13","-0,1",,,,"-0,28","-0,31","43,67","733,2"
